Local time,Open,High,Low,Close,Volume
04.01.2024 11:00:00.000 GMT+0100,42994,43065,42652,43045,0.016
04.01.2024 12:00:00.000 GMT+0100,43044,43227,42914,43163,0.0116
04.01.2024 13:00:00.000 GMT+0100,43163,43390,43081,43367,0.0132
04.01.2024 14:00:00.000 GMT+0100,43364,43478,43167,43338,0.0126
04.01.2024 15:00:00.000 GMT+0100,43338,43722,43236,43661,0.0178
04.01.2024 16:00:00.000 GMT+0100,43665,44303,43586,44035,0.0267
04.01.2024 17:00:00.000 GMT+0100,44037,44124,43757,43899,0.0179
04.01.2024 18:00:00.000 GMT+0100,43899,44206,43805,43971,0.0124
04.01.2024 19:00:00.000 GMT+0100,43971,44126,43871,44040,0.0099
04.01.2024 20:00:00.000 GMT+0100,44040,44424,43902,43960,0.0165
04.01.2024 21:00:00.000 GMT+0100,43960,44678,43876,44134,0.0512
04.01.2024 22:00:00.000 GMT+0100,44134,44538,44091,44427,0.0181
04.01.2024 23:00:00.000 GMT+0100,44427,44751,44169,44328,0.0148
05.01.2024 00:00:00.000 GMT+0100,44328,44352,44046,44114,0.0079
05.01.2024 01:00:00.000 GMT+0100,44114,44239,43966,44194,0.0126
05.01.2024 02:00:00.000 GMT+0100,44194,44261,42731,43365,0.0341
05.01.2024 03:00:00.000 GMT+0100,43367,43926,43280,43491,0.0953
05.01.2024 04:00:00.000 GMT+0100,43489,43728,43387,43454,0.079
05.01.2024 05:00:00.000 GMT+0100,43458,43610,43201,43575,0.0785
05.01.2024 06:00:00.000 GMT+0100,43575,43689,43491,43639,0.0745
05.01.2024 07:00:00.000 GMT+0100,43639,43888,43552,43816,0.0761
05.01.2024 08:00:00.000 GMT+0100,43816,43887,43697,43753,0.0684
05.01.2024 09:00:00.000 GMT+0100,43753,43934,43739,43902,0.0654
05.01.2024 10:00:00.000 GMT+0100,43902,44277,43891,44133,0.0215
05.01.2024 11:00:00.000 GMT+0100,44133,44137,43489,43615,0.0179
05.01.2024 12:00:00.000 GMT+0100,43615,43889,43576,43747,0.0167
05.01.2024 13:00:00.000 GMT+0100,43749,44085,43624,43872,0.0172
05.01.2024 14:00:00.000 GMT+0100,43872,44052,43719,43986,0.0213
05.01.2024 15:00:00.000 GMT+0100,43986,44049,43215,43475,0.0269
05.01.2024 16:00:00.000 GMT+0100,43475,43791,43341,43475,0.026
05.01.2024 17:00:00.000 GMT+0100,43475,43582,43198,43204,0.0253
05.01.2024 18:00:00.000 GMT+0100,43204,43607,43072,43590,0.0867
05.01.2024 19:00:00.000 GMT+0100,43590,43660,43389,43576,0.0721
05.01.2024 20:00:00.000 GMT+0100,43576,43773,43491,43571,0.0676
